,Comment
320,"Waste of money only speed,  Changing speed also not good same like oneplus 6 ,fingerprint is less secured open using some tricks, camera is too poor for money"
321,"This is an excellent product by one plus.. When I ordered it, I got scared by one star review by many people.. I think it was wrote by competitors.. Happy n proud.. Really"
322,Pros :1. Display is outstanding.Never seen a display like this in any phone till now .2. Performance is top notch.3. Speakers are mind blowing . Feels like holding a home theatre .Cons.1. Battery is draining too fast due to display QHD + and 90 hz refresh rate .2. Camera is not that of a hype .Overall best phone to buy keeping the price and specs in mind . Very satisfied 😄
323,"Well well, in simple word description: KillerEverything in this phone is top class.Camera quality is brilliant and performance is next level.Motorized camera is very responsive.As of know i didn't find any glitch in this phone."
324,"The main reason why i bought this phone is my old C9 Pro broke and i needed a phone with good Display which can support HDR 10,Then i gone with the hype and finally bought this phone.but i got the problem with the display itself 😪 I wanted a phone with a gud display when i didn't get whta i want for so what do i do with the rest of the specs.After playing any 4K/HDR content ylloew color is appearing on the whole screen even when i put the screen calibration ""Cold"".And when i on the reading mode its worse ....all dispaly is seems like someone spreaded Turmeric Powder on it & its not bright as many samsung's phones.i have been using my old samsung c9 pro for 3yeras and i knw it.Being a movie lover i luv watching movies in my phone. Totally disappointed with the display.OnePlus should update thier dispaly next time with more brighter screen."
325,Really excellent product a premium smart phone from 1+ 😍😍 really it's flagship killer 🥰🥰-Curved screen-4 thousand mAh battry(in very normal use u get 4-5 days of battery life)really its awesome-In display fingerprint sensor which is relly fast-Sterio speaker 😍😍with dolby atoms....-Sd 855 powerfull md beast processor 🥰🥰-Last i say really go beyond the speed.......😘😘😘😘😘😘😘😘😘😘😘😘😘
326,This mobile is awesome in looks wise as well as performance wise.if you are looking for a premium range mobile than this is a best choice.worth buying.
327,"I have been using 8GB variant for 3 months.Before this one  , i had OP 5t. 5t never had heating issues whereas this phone gets heated with continuous use.The only pros of upgrading to 7pro from 5t is quality of display , bezel less display , screen size. But 7 pro is not up to the mark in terms of camera performance. Below average camera. It sometimes clicks good picture under good light conditionsMost of the times i use FHD+ display to save battery and i hardly switch to QHD+ which doesn't really make much difference.Finger print reader is fine. Not as fast as 5t that may be because of in display finger print reader.Overall this mobile is okay if you are not a camera enthusiastic.But personally i don't find it to be a worthy upgrade from op5t."
328,"Though I liked the phone very much, I was shocked to note that there was no User Manual. I checked online too but not available online too. When I contacted Oneplus for the same, I was informed that manual must be inside the box or I should contact Amazon from where I bought the phone. Unfortunately I can not find a way to contact Amazon and as a result, I am not in a position to use my Phone fully."
329,Phone is really good. Beautiful display and fast. One plus nailed it with this phone. Camera though is wanting a bit. Starts blurring when you zoom.The other big area of let down is the finger print recognition... It is very average. Many a times it doesn't even recognize the fingerprint. The face recognition is good but there is a little lapse as the camera had to pop out. This biometric aspect is no where close to the one plus 6.
330,"I have purchase 8 GB varient on 24-06-19 and within 3 or 4 days I found following defects :-1. Battery backup is very poor. It drains very fast.2. OnePlus claimed super strong conactivity, but according to me it is only satisfactory.3. Cost of this product is very high.4. I contacted customer care within 4 days of purchase for replacement. But they refused.So guys if you want to purchase costly phone. Think deeply about the negetive side. So please read all customers reviews carefully and then finalise. Once product received, you can't do anything."
331,"Well, there is nothing to dislike about this device. I own the 8GB Ram version of OnePlus7Pro. But, OnePlus could’ve delayed the launch of OnePlus7TPro. Within a couple of months, your phone is no longer the flagship even though the device was launched less that 3 months ago of my purchase.Note:1. Camera is above average but not among the flagships of other brands.2. Display is amazing. I’ve not experienced anything like it before.3. Just received an update for Android 10.4. OnePlus needs to reconsider gap between launching flagship devices."
332,"Really fastest mobile in the world ... Stunning camera . Good stability at high zoom .. water-resistance . Awesome battery with fast warp charge.ultra level display , really more smooth .. gaming fnatic -mode is really impressive for gaming. Dolby sounds can feel u like in cinema. Fastest finger print unlock ever... Compared iPhone and Samsung , OnePlus 7 pro is really at the best price"
333,People write review instant after they buy and use the product for few days. But this review is coming after 8 months usage of One Plus 7Pro. I had One Plus 5 earlier and so I thought of going with 7Pro. I would say this phone is no match for the earlier version. This phone hangs a lot and updates are pathetic. Seems like One plus is trying to do too much on this phone or something is wrong that they are not able to fix.  Though it iss said to be their fastest phone but I find non reason on why it hangs or freeze.After using this phone my confidence on higher models is shaky. So don't go with the wave of impressive advts. Check for the real user reviews.Camera was better in One Plus 5. You need to edit the pics clicked indoors to make them brighter and colourful.Battery life is just okay but you need to keep your brightness in control.Design is good but that's not the only thing that you would buy an expensive phone for.If with 80GB storage space as balance it starts lagging or freezing then what happens if the you are low on space like 10GB. It was almost unusable when it was that low on storage. I had to clean it out. So even if you buy a 256 GB phone just make sure you have enough storage left.This is my personal view and points. Use your own judgement and knowledge to evaluate the phone.
334,"Must buy this phone if you have a budget of 50K around- Camera excellent- Performance in gaming- Haptick feedback while gaming- Large 4K screen with 4k recordingJust the battery is a problem a big battery is ultimately used bu big display, but WRAP charging comes to rescue here.Ever thought your phone is watching you, not with this one as it has hidden front camera 😂😂😂"
335,"Only 1 word its just ""AWESOME""I read some negative reviews for camera performance, but im really very happy with the camera n will give it a 5*. Only the thing i didnt like is the scratch guard and back cover provided is so cheap in quality"
336,"One plus 7 Pro is truly a beautiful phone just fell in love with the phone when I got my hands on it, I'm using the phone since 2 days, I want to say a lot of positive things about the phone but I'll make it short, this phone exceeds my expectations in all aspects, just go for it, a great buy, I'll highly recommend it."
337,"Simply a worthy premium smartphone for daily use. Have been using it for almost 4+ months. 90Hz display is amazing and smooth (one of my favourite these days). On screen fingerprint is fast enough for unlocking the phone. Unfortunately, i didn't used face unlock and i didn't use front camera often. So no comments on that.With 30W Warp Charge, the 4000mAh battery can be recharged pretty fast as well (as per the company's claim and its working excellent so far).Camera is working as expected and also tried few nightmode shots and it is also satisfying.No troublesome heating issues found so far.There is no headphone jack, but i don't have any problem with that as I am using OnePlus Bullet Wireless 2 (Excellent choice for OnePlus7Pro).Ps:- This is my first OnePlus company's product and I simply loved everything about it."
338,"I got this for 46k after offer also got 1 year screen replacement guaranty free, so accordingly, this phone is value for money.Pros -1 Looks are great2 Camera provide enough details as needed3 Fingerprint sensor is damn fast as  compared to samsung ultrasonic fp reader.4 popup camera motor is fast and i sometime miss to see popup while it unlocks phone with face unlock.5 battery at Qhd resolution 90 htz display provide 4.5 hours screen on time (a day usage including standby), Qhd 60 htz provide 5.5 hours and Full Hd 60 htz provide 6 hours Screen on Time. On an average i get a full day usage easily.6 weight distrubution is excellent that phones doesn't feel heavy in hand.Cons:low light camera performance is ok ok."
339,"Interested in returning and getting a refundA lot of issues with One plus 7 Pro...1) Ghost touches- the touch screen acts wierd sometimes and apps open up and closes automatically.2) Delayed Response- while making calls, there is quite a long delay one I click call option. Sometime feels like the touch is not working and suddenly after 10-15 sec or more, the phone goes into calling mode.3) Voice disturbances-many instances, when the call is made, voice is not transmitted.4) CAMERA- even after the update the back camera is still blurred. Indoors it take decent photography but not up to the mark of a flagship killer (as these are called). The focus is bad. In potrait (depth) mode background is not blurred.I have been following OnePlus community forums and these problems are common all across. Also different people are getting different issues.Would really like to get money back. But the option for refund or replacement wasn't available initially and now it shows refund period closed on 30th may. Looks like a cheap stunt to force the products on the consumers."
340,"Display is so delicate my frnds display broken cost 17000, frnds if you purchase, take one assist insurance or use templered glass and screen guard on it, and a good quality backcover, since it is a curved display more chances of braking if front glass also breaks then also full scrren to be replaced"
341,"It's been 3 days that I got my hands on this beast. So far fully satisfied with Screen, Finger Sensor, Wrap charging, Processing etc. Camera could have been a little better for this price range.  While zooming there are litter blurred pics and front camera definitely could use some improvement. But over all worth it's price. Go for it !!!!!!!!!"
342,"Better than s10 and iPhone xs at this price.Screen on this device is LIT.And yes normal users will experience the difference between 90Hz and 60Hz.About battery i get an avg SOT of 7.30hrs.Warp charging is best in the market,almost charges upto 50percent within 20mins.Only one thing which is a little bit downside is the camera.Which i am sure will be upgraded with future software updates."
343,"Best flagship till now 😎happy to have this phone! camera is gud but it can be best by software update .I love the night mode ,screen is superb .so smooth"
344,It is easy to grade on the performance but it is very deficult to explain.Simply Beyond IMAGINATION S.  in all aspects on the concepts of a mobile phone. Congratulations ONEPLUS.
345,Excellent phone.. Superb Camera.. Extraordinary screen.. super smooth touch feel.. only one thing about charging is the wrap charger is nothing different than the Dash charger it takes the same time as dash one.. Overall a great phone for a Good price..
346,Happy with the phone one plus delivered its promise and the few bug fix n patch update  makes it still smooth no lags even in heavy games and screen response is beyond compare the display clarity is beyond compare I stream Netflix  content n prime love yo watch.. the battery last till 50% in normal mode  when saver mode its super  cool when u adjust the refresh rate and optimised use...Gaming mode is added  cool stuff ...
347,"A very crisp and sharp fluid AMOLED FHD+ screen with 90HZ refresh rate. The best u can get in the Market.The camera is good , pictures are sharp but does lack some features like wide angle option for selfie.The battery drains fast if you use it in the highest resolution but with battery saver you can really use the phone well. It does give you options to change the resolution to save the battery if you are not into battery saver.The phone is a little heavy and big if you are used to lighter phones but you'll get used to it.Well it's OnePlus , it's absolutely worth the money."
348,"Using this phone for more than 7 moths now but this one still feels the same in terms of smoothness as day one. Quality of each part in intact till date. And I just can't get enough of its Display. It's a treat to eyes.I must say that this is the best phone that I have ever used and one of the most satisfying purchases I have ever made.In future, may be after 4-5 years, when I will reflect back I will be proud of myself that I had held and used this phone in past. :)Keep making amazing products Oneplus. You guys are game changers."
349,"Awesome phone. To start with pros, amazing design and the color nebula blue is nice. Camera quality is good for the price, never settle with the speed. Face unlock is slow as the pop up camera needs to open up and read the face and unlock also fingerprint is slow compared with OP6. Great phone for reasonable price."
350,"Been using it since launch, battery life is absolutely fantastic and so is the display. However, the camera or its software leaves much to be desired.If I cared about the absolute best image quality, I would not pick this phone. But I don't, and I agree with the majority in stating that no other phone has gone through a whole day with me (except perhaps the P30 Pro) and I would definitely recommend this phone."
351,Demerits Very heavy it weighs like a powerbank.Low light camera is not up to the mark compared to oppo f11.Wide angle videos not supported.No headphone jack nor a connector in box which is very bad.Pricing toooooo much.MeritsWarp charging is superbBattery backup is also good but not up to the mark.Front camera is unimaginably good.Gestures and performance are excellent.
352,"There is a issue with pixels of display , when ever you play any video which has low light kind of dark videos then a greenish flash is blinking up on the screen.i visited the customer and they do know that issue is there in specific to one plus 7 pro series but no help provided. Worst service by op service"
353,"The display is the key point which outrage this phone. I just brought this phone for it's display. It feels too smooth & the 90Hz display is way better than u think. Since it's a curved display & huge display with no notches on it you have to be a bit careful in handling it. If you are a bit rough handler then you need to think twice before buying, but if you are a soft user as me then if budget is not a constraint then this is the right phone at this price point."
354,"This product is really nice. Really strong camera on the back and awesome features embaded in a phone. Purchased this at the time of launch and since then it has been an awesome gaming and video experience. Only thing is that they could have worked a little better on the night mode and on the quality of front camera. Apart from this no complaint, a truely awesome product."
355,My god this phone is a wet dream for many tech savvy people out in the world. you can get better camera in iphones...better utility options in samsung....better hardware in ROG phones by asus....BUT YOU CAN GET THEM ALL IN THIS BEAST. This is all you need for a phone that can obliterate any and every flagship phones in the market. This phone completes your desire for an ultimate phone . Trust me...THIS IS BEST YOUR MONEY CAN BUY YOU IN ANDROID RIGHT NOW.
356,"Hai, After using 15 days, Phone is okBut battery drain very fast. Photos are good.The person who use more incoming and outgoing calls... This phone is not advisable..Finally I am not Happy with this Mobile."
357,"I ordered as soon as was available. The phone looks beautiful, feels premium. The letdown begins when u start using it for a while. The fingerprint reader was easy enough to setup. But upon usage had issues. it didn't work all the time. Lots of time the phone would just keep saying too many attempts & keep asking for pin. The pop up camera started having weird rubbing noise Everytime it was used.the phone calls had weird static distortion in them while they were quite clear on my iphone. I think they will release an update to fix it. The edges of the screen with the curve e resistance to touch and since the corners of the screen r more rounded than others, lots of time functionality was cut off. Like the voice message button in WhatsApp. The screen looked great with the 90hz display but unresponsiveness killed all the fun. It dosent matter if the screen is good . It might have a higher refresh rate but will still feel slow if the responsiveness is low. The camera quality was the most dissapointing aspect. Coming from iPhone the difference was quite apparent. The images seemed more granier and more saturated. The 3x zoom is underwhelming. Will probably install the pixel camera software as the stock software just dosent match up. But then the pixel phones have the best camera processing in the smartphone world.The battery is fine not great, but that was to be expected with the quad hd 90hz display. Roughly lasts 8to 9 hrs on average usage for me. Warp charge is a boon.Overall the price increase for the pro version does not seem to be justified. Too many trade-off. The one plus 7 which is not getting as much attention is a much better phone and more value for money. The difference in value proposition seems negilible between the two."
358,"Screen : It's really awesome.. 90Hz is silky smooth..Charging Speed : It does charge 50% inside 20 mins..Battery Life : 1.5 - 2 Days battery life for my usage.. It depends upon your usage..Camera : I don't take selfie or photos that much, so can't comment on it..Performance : It is really really fast..Sound : I do watch a lot of my content on YouTube i do feel the speakers are not that clear.. They are loud but not clear(Maybe it can be improved by changing the some setting or solve it in the next updates)My review : Overall i loved the phone.. If you are a normal usage phone person, then you will definitely love the phone b'coz of its 90Hz screen.. Some user will change the display setting to 60Hz, but if you start using it on 90Hz then there no way you will go back to 60Hz..Pros : As per my usage..#1 - If you use it for 30 mins and then take some another phone, you will not like the other phone.. You will fall in love with the display and once you start using it daily, you will not touch any other phone..#2 - Phone has a 1440 x 3120 pixels resolution and huge screen size, so if you watch a lot of content on your phone, You will love it..#3 - Performance is really fast..#4 - Definitely whole day battery life.. (1.5 day for me)Cons : As per my usage..#1 - As the screen size is huge, it is very difficult to use the phone in one hand.. You cannot type while chatting with one hand..#2 - Finger print sensor - I keep my phone inside my bag while driving, the screen wakes up so many times.. Accidental screens wakes up a lot..(Hope they solve this issue in next updates)#3 - Sometimes some apps do crash.. (It may be the choice of app i may use)"
359,"Pros: 1. 90 hz (it takes you to another world)  2. Ui speed awesome  3. Charging speed mind boggling.  4. Haptic feedback best in class.  5. Sound quality of speakers awesome  6. A big thanks for the speed of phone.CONS: 1. Poor battery backup (battery drains rapidly)  2. Camera just an average (it kills originality of photos, make face a bit pinkish.)Don't know when one plus camera are going to justify it's price.  3. Handsfree/Bluetooth earpods sound below average. Didn't expected this from one plus.Tried different components handsfree /earpods same result.  3. Weight management very poor.  4. As phone is huge in size, functionality should be at bottom of phone. I hope one plus will do something."
360,"'nuff said. If you still have doubts, check the hundred or so review videos praising how good this device really is. If you are in the market for a premium phone but don't want to pay the Apple Tax or Samsung Tax, just got with this phone.Note: if waterproofing is not important for you, consider Asus 6Z as well for a much lower price."
361,"I bought OnePlus 7 Pro(6GB, Mirror Gray)  from Amazon on 4 October 2019 in 'Amazon Great Indian Sale.Seller Name - Rocket Kommerce LLPOn 9 Oct, my Phone delivered and I was doing the initial setup.Suddenly an error occurred that showing ""Android Setup Keeps Stopping"" and Nothing happens. I stucked on this error screen. after restarting many times I did a factory reset and able to get home-screen.1.  After getting an error on Brand New Phone on initial setup, I am assuming that this phone is tampered by the seller and contains fake parts.2. when I ran speed test(Read&Write) of internal storage. The results are way less than actual ufs 3.0 storage even half.read & write speed is same as ufs 2.1. It means internal storage is tampered or defective.after this whole incident, I am very disappointed by Amazon."
362,"PROS:Great Displayprocessor SD 855Oxygen OSNice duel speakersGood cameraLower sar value (head:1.187w/kg, body:0.606 w/kg)HIgh amount of ram for great gaming experienceGood screen on time without using higher refresh rate or higher resolution.Wrap charger support for fast chargingUFS 3.0 Supports for faster file transfersCONS:No 3.5 mm headphone jack supportBattery capacity is low for max resolution and 90 hz displaySignal reception is not good like oneplus 6T"
363,"Undoubtedly this beauty deserves 5 stars without any doubt..! Man you got excellent camera with very good low light conditions, excellent picture Clarity in daylight and super selfie camera. Performance is top notch. 855 SoC is killing it. You got 90hrz refresh rate and 4k display wherein you can shoot and stream true 4k content with an ease which no other phones in this price segment can do. Battery life is good, as I'm fond of games, I play a lot of games and I'm satisfied with battery life. Special mention pop up camera- that stress test in YouTube which is for 12hrs straight clears everyones doubt on pop up cam. It is just perfect ."
364,I like the phones but mostly dislike missing 3.5mm jack battery drain very fast. And in the box only normal  case cover is there and no protection on display screen it's just coated with plastic strips. Atleast provide screen guard glass in the box.. and the main thing is that no screen guard available in the market.
365,"First time I have purchased one plus phone (one plus 7 pro) received on 30.November.19  but my experience is very bad due to phone camera quality . Pictures are blur and camera can't focus on subject, pictures showing good in camera before clicking but after click picture goes blur. Camera quality is not up to mark as per price range. There are problem of Slow motion video recordering as blanking problem. Picture clearty of 3 camera is poor. finally worst camera quality....Avoid to Buy this ...."
366,"I watched the release event of the OnePlus 7 Pro and it is masterpiece!!The specs of the phone are amazing and the 90hz display is a top notch to mobile phone.Fingerprint sensor's recognition time is toooo low! You can unlock the phone before Thanos snaps... It's that fast.The triple camera system is spectacular too... it's like a mini DSLR in your pocket.Overall, I just loved the phone! I really recommend it!"
367,Phone heats up when put for charge and this phone is not fit for gaming at all I'm just scared that this device may explode one day while playing games cause it heats up so much.I'm sure there are other phones in the market that gives better performance for much cheaper price than this device. Overall very dissapointed with the device after all the so called adds they did for promoting this device. If you really care about your money don't go for this device.
368,Verry slow speed by one plus this time.  The demo first then buy
369,Camera quality is very bad. Dissoppointed.Apart from this everything good. A bit heavy.
370,Awesome product ...again One plus shows it's class and master peice of workmenship. Totally it feels great in hand...1. Design ...very good2. Battery life... Heavy use 10 hrs3. Camera Quality ...Best I have ever seen in this range of phone..4. RAM and ROM.  As per specification work5. Processor ...Actually very fast and with any lagging .In short I m very much satisfied with this phone after using approx one month.
371,"Received the product today. Absolutely mind blowing. Battery back up, display, camera etc everything is perfect. If budget is not a concern then can go for it. Thanks to Amazon for an perfect delivery."
372,"My primary purpose of buying this phone was to buy a phone with premium finish and a good battery. I dont use the camera much, neither I play games.battery charges really fast, but this monster also guzzles it fast, so not able to hold the battery life longer."
373,"For those complaining  about display and camera issue. Trust this review.I've been an avid user of Samsung from the last 5 years and I've had all of their flagships. This was my first time with One Plus and I am surprised that it surprises me in all departments.. That flamboyant display with a cheeky 90hz is something ppl say is not noticable...Trsut me the absolute feel of that is beautiful.Gaming is undeniably the best from the best in this segment.Camera is great with the patches all of its issues are fixed and going forward many more patch updates will hopefully just make it better.. Stabilization is on point. The audio captured on the videos is great quality.Speed is absolutely is blazing fast... Yes it is going to face a challenge from the likes of redmi k20 pro. But it is a one plus end of the day and am 100% sure display is where k20 pro is not going to win. Also software optimization and camera is better any day on the op7 pro...Lastly, it is not about the best phone. It is about the brand value and what that can do as justice to the options you favor."
374,I am reviewing this smartphone after 1 month of usage. Battery standby is my only concern rest are all awesome.Pros:1) Display2) Stereo Speakers3) In-display fingerprint4) WARP ChargeCons:1) Battery stand-by could be improved2) Camera not up to the mark(but OnePlus is doing their best)
375,Don't believe negative reviews  every thing is superb this is my 4th mobile from 1+.... Only one thing is little bit heavyweight
376,This phone is over hyped. I had lots of expectations. I ordered twice. But not happy using this product. OnePlus is not able to meet the expectations of mine. I am trying to refund or replace with Samsung S10
377,"First thing first, this is a Supreme Phone.I got this 8Gb/256Gb version for 40999 ( there were some other offers also - SmartBuy By HDFC made it even a better deal - 2000 worth vouchers more) . This phone justifies the price of 40K. It beats the Samsung and iPhone hands down in Display and aesthetics. Camera is tad bit inferior to Iphone Pro Max and Note 10 but the difference is marginal. Normal user will find it hard to notice the difference. Night Mode has been great with the latest software on.And yes, the User experience is better than Iphone. It took all these years for and Android phone to trump Apple in that regard. 90Hz refresh rate is not a gimmick, it makes every other mobile phone 'feel' slow.Battery life is great, lasts a full day with moderate to heavy usage , even with that 4k (90Hz)  screen on. Lord knows how much it will last if it is turned down to 60hz FHD.Software is on par with iOS as far as usability and touch/feel is concerned. There is no news in  saying that  it is the fastest phone around.After the price cut it is the most affordable premium phone in the market today. Close your eyes, and go for it - you will not go wrong."
378,"Fingerprint scanner is slower than previously used capacitive sensor. Picture quality is underachieved by oneplus. Battery drains fast even in this brand new phone. Elegance is super hot. Screen is a flagship and performs well up to the point. Changing takes more time then it was claimed , ufs3. 0 storage increases a bit of speed of data transactions. Nebula blue colour is innovative. Heptic vibration engine will feel just like an apple phone ."
379,It is an average phone with a good display. Sound is good. Phone is very slippery and camera quality is poor with lacking clarity. Battery back up is average and worse than oneplus 6t. Buy op6t or op7. Do not buy op 7 pro.
380,"Presenting the best phone is the budget presented the 90hz is a visual delight, no doubt the in screen fingerprint reader is a bit slower than the conventional methods, camera add an extra dimension to the photography it's not just good it's really good. Nightsight could be a bit better but still it has come leaps and bounds since the 'dark ages' the battery life leaves more to be desired for but warp charge is the best thing to be adapted with in half an hour i can go from nay to gaming without thinking will the charge last or not.... It's just the best..."
381,"Full screen display feels always happy on investment.Very much like Night mode photos clicking and photos quality is very good.Charger: no comments always take less time and extend long life of batteryFlipped camera works very smootherHave wireless casting facilityDevice Support all south Indian language (Kannada, Telugu, Tamil, Malayalam,Marathi) and Hindi, Gujarati English (Indian) and others.One Suggestion:1) If you provide the branded earphone with device.2) User manual available only in English and other international language. Kindly add Hindi language as mandatory as well as  if you added other Indian regional language that's would be for better."
382,"It is worth it. Camera was not upto the mark before update, but it has improved a lot recently. And future updates will definitely make it a great shooter.Other than that you'll love 90hz display, Fast, clean and uncluttered UI, and overall premium feel.Only issue is it is hard to find good cheap tempered glass atm and there is no official tempered glass from oneplus available yet.Overall, it is worth the money."
383,"I am using this phone from 1 months must say this is the best smooth and fast phone i have ever used till datei think every one knows about its specs and looks so i dont need to tell about that allI just tell you about its brief battery lifeSo if you are going to use this phone for calls whatsapp and media consumption you will get 5 or 5 n half hrs of screen on time or you can increase a bit by lower the screen refresh rate and resolutionBut If you play PUBG in this mobile then it will give you max 4:30 mins SOT and if you use its fanatic mode then you will get 4 hrs of SOT if you lower its resolution and screen referesh rate then it increase a bit by 15 min or half an hours of timeYou will get Warp charger in the box which is 30w charger so you can full charge your device 1:30 hrsOve all its a gud purchase and after purchase i got 3 to 4 OTA updates and oneplus rectify its bugs and camera issues and lots of minor improvementsAlao if you are planning to buy this phone then buy one armoured case for the phone security aa phone is very slim and you can not handle without caseif budget is not your concern you can definitely go for it or else you can look for op 7ConsThe cons i have noticed is its weight,no ip rating and average battery life rest all looks perfect to me"
384,Without  a doubt the best smartphone experience you can get for the price. A true masterpiece.  One thing to note is anyone who is planning to buy one be prepared to use a large phone.
385,Great product ... ultra smooth .. great build quality ... best smartphone in premium segment :)
386,Pros:1. Camera quality is superb2. Look is pretty stylish and decent with curve edges3. Processor is really fast and can be used for heavy gaming experience with 4k quality screen4. Smooth interface experience5. Fingerprint pretty fastCons:Battery drains really quickFingerprint doesn't work sometimes
387,"The screen is just amazing.Noholes,notches or gimmicks just the way I like it. Nebula blue is my new favorite color.The camera is the best compared to previous OnePlus products.The battery life is short but saved by the Warp Charge.All in all , an great smartphone."
388,"Loved this phone. The features included translate into a real world excellent experience. The 8GB RAM is more than enough. Using GCam with this improves photo quality, but one plus is also putting software updates. A solid phone that's worth the money we're investing in it."
389,"Just buy it if your budget allows. Everything is premium in this phone. Display, Camera, performance everything is great. I saw few reviews, people comparing camera with low end phones. The difference is the new AI feature with mid range phone which is just a software upgrade. AI camera images looks great but are automatically editing when clicked. This is the reason people feel some mid ranged phone phones camera are good but actually that's not. That's just a software they use.Taking that into consideration each and every thing is worth."
390,Great product.Snappy and superfast as u will expect from a Oneplus phone.Packed with the powerful Snapdragon 855 processor.Camera also excellent especially after update.Battery life surprisingly good and that Warp Charge is ultra fast.Display is best that any smartphone can get with 1440p Oled display and refresh rate of 90 Hz which sets it apart from competition.Gaming is the best experience with this display and powerful processor. Can play PUBG on HDR and Extreme graphics without any sort of lag. Too smooth.In display fingerprint scanner is the fastest I've ever seen.10 layer cooling tech works like wonders. Its nearly impossible to get this phone too hot. Even after long periods of gaming it stays cool.
391,"Overall experience of this phone is amazing, that display and the speed of this phone with that processor, refresh rate and Oxygen-OS work so well together, this phone is butter. Well worth the price tag, yes its expensive but it is not overpriced. Also got one year manufacturers warranty and 6 months of screen replacement protection plan. Lack of headphone jack and even the dongle is unfortunate, but I can look past it since I really love this device."
392,My sister bought this phone. As expected this is an amazing phone and has every feature one could expect. Battery life is almost a day (sometimes even more). Camera clarity is amazing. One thing I didn't like about this series is that OnePlus hasn't released tempered glass for it yet and every other tempered glass is just not good enough. After 6 months or so the camera clarity is very poor.
393,Don't waste your money buying this... One plus 7 is better than 7 pro
394,"DISAPPOINTED !!!This purchase was a surprise disappointment ! This is my 3rd 1plus buy... Have always loved their phones .This time around , I have recieved my OnePlus 7pro phone with a sort of notch on the side of the phone ,below the on- off button . Initially looked like a part of the bezel , but then I realised that the pixels were not working in the area . The black bezel like spot also has a voilet hallo around it . Haven't used the phone much to comment on the battery life, camera quality is decent . Fingerprint reader is not the best...OnePlus team and Amazon team have been cooperative so far..Have already enlisted for a replacement."
395,"Awesome phone, everything is flagship level. Fastest phone on the planet you can buy now."
396,It west of money
397,"This is a damn amazing phone. The video is as smooth as butter and you can somehow tell the difference between when it's running at 60Hz refresh rate and 90 Hz refresh rate. The 90 Hz refresh rate just feels much much cleaner and more absorbing. It is actually hypnotizing that's how good this phone is. You can use it for gaming and the visuals will be mind altering altogether. I was just playing Modern Combat 5 and wow what a mind bending experience it is. You can actually place yourself in the thick of battle with the chaos all around you. I have also played other games like temple runner etc. and they run like butter. Overall, very very very happy with this amazing phone and highly recommend it to anyone for any purpose whatsoever."
398,It is not a good product as we expected it is not Reaching the expectations it is one of the worst phone in its battery and by paying a large amount the finger print doesn't work properly and there was no response for our issue till 15 days still now no response was thereThe display will get lagged like hell
399,You cannot  distinguish between a screen off and black wall paper . Both seem same . Color detailing is even better than best.
400,"This product is a beast....with all the features and the 6.7"" screen with the 90hz makes it a perfect match for movies and video.....with the latest snapdragon 855 the phn is lighting fast......But not having a earphone or at least a type C to 3.5mm converter in the package was a bit of disappointment.Though the phn is not officially certified waterproof but from my previous one plus experience I could tell u it's not much of an issue....the device is water resistant to a good extentLastly the camera .....the portrait mode is legit....it has an amazing field of view.....the primary lenses also does a pretty decent job.....but the ultrawide lens is not up to the mark.....the dynamic range is not good and the photo also looks a bit noisy.....so some research is required on that part...The front facing selfie camera also does a good job....my best SELFIE CAMERA by farOverall if u ask me it's a pretty decent device to go with your daily activities and gaming; editing and other stuff like thatU won't regret buying this..😄😄"
401,Finger print is very goodCamera good qualityBattery backup good
402,"It has an amazing display and it's buttery smooth with the 90hz refresh rate! The camera is a beast tho. Battery is decent. 6hrs sot once fully charged. And while gaming I get around 3-3.5hrs sot in fanatic mode while playing pubg! But people who are looking for more performance and better battery backup and smoothness, I would recommend them to go with Asus Rog Phone 2. By the way this review is from a long time OnePlus user and also Rog user! Peace. Have a good day! :)"
403,This is hands down the fastest phone out right now and will be for the rest of 2019 and 2020 until Oneplus 8 comes out. Oneplus tinkers with Android OS to prioritise on speed. This phone would easily last someone 3+ years. The screen is absolutely stunning and the 90hz motion on the screen makes it one of the best screens out. Camera is also brilliant and takes amazing pictures. It's got wide angle lens which I absolutely love. Similar to go pro. It's also got standard lens which takes great photos on day and at night too. And a zoom lens. Battery life is also very good and would easily last a day. I never have to worry about storage since it has enough to store for over 2 years for me. Google photos backs up unlimited photos and videos for free so I don't have to always keep photos in my device. So 256gb storage is an overkill and I love it. The price of this phone is a few hundred pound cheaper than others and is better to me! You would absolutely love the warp charger. It will charge your phone to around 50% in 20 minutes. It is a lot faster than Samsungs fast charge. The best part is that it will still charge fast even if you're using the phone where as other chargers will slow it down a lot. I have zero regrets from getting this phone! Thank you Oneplus for making an amazing phone.
404,"I don’t how they are charging so premium without quality,1+6t camera was so good so I thought of going for 1+7 pro but it’s not at all worth it I was using VIVO V15pro camera was much better simply I ve sold it for this worst phone"
405,"Pros:Kickass DisplayRegular Updates/patchesCons:Average camera. What's the point of having a triple camera if apart from the main cam, the other two are below par.Battery life is very average given the size and price. Getting a screen on time of 4-6 hrs.Too heavy and bulky.My indian sim card had no signal in Europe for the whole trip while my wife's OnePlus 5 with indian sim was able to latch on to networks in europe. Both of us use Jio.In display Finger scanner is a pain in the assFor the price I expected a better phone."
